objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.1167,WASP-99 b,WASP-99,5.75251,0.0717,0.0,11.43318,772.3269,2.79,1480.0,828.8268,6150.0,0.5433,1.21,1.64,0.21,4.3,3.0
3.1713,Kepler-152 c,Kepler-152,88.255055,0.356,0.0,2.39,6.3,2.54,326.0,2.57,5088.0,-0.46488,0.779,0.724,-0.12,4.605,2.0
3.1411,HD 56414 b,HD 56414,29.04992,0.229,0.68,3.71,13.3,1.43,1133.0,257.066,8500.0,1.15806,1.89,1.751,0.0,4.25979,0.42
3.18974,Gliese 12 b,Gliese 12,12.761408,0.0668,0.5,0.958,3.87,17.7,314.6,1.62,3296.0,-2.13787,0.2414,0.2617,-0.32,5.21,7.0
3.3287,Kepler-266 c,Kepler-266,107.723601,0.457,0.0,3.89,14.4,1.34,421.0,5.592,5885.0,0.01163,0.947,1.028,0.16,4.453,4.79
3.3256,Kepler-1388 b,Kepler-1388,12.2854603,0.0882,0.0,2.59,7.22,2.28,434.0,17.674,4098.0,-1.1068,0.63,0.61,0.02,4.67,4.47
3.18853,TOI-6130 b,TOI-6130,2.392679,0.036,0.036,14.3474953,333.71982735,0.64,1750.0,1150.0,6110.0,0.4609,1.31,1.51,0.28,4.19,0.3
3.13108,GJ 514 b,GJ 514,140.43,0.422,0.45,2.13,5.2,2.96,202.0,0.28,3728.0,-1.36653,0.51,0.5,-0.14,4.76,0.8
3.11426,rho CrB b,rho CrB,39.8438,0.2245,0.038,13.7,347.38644885,0.742,614.0,34.7,5817.0,0.26007,0.95,1.34,-0.2,4.25,10.2
3.12674,TOI-628 b,TOI-628,3.4095675,0.0486,0.072,11.88154,2011.8639,6.58,1586.0,1052.9,6250.0,0.39445,1.311,1.345,0.258,4.3,1.28
3.5645,Kepler-1531 b,Kepler-1531,1.138543376,0.02204,0.0,1.11,1.41,5.67,2537.0,4457.2,6260.0,0.30365,1.16,1.27,-0.03,4.29,2.82
3.11786,K2-12 b,K2-12,8.28246,0.0792,0.5,2.44,5.2,1.6,1026.0,185.0,5672.0,0.07181,0.965,1.117,0.0,4.3,8.9
3.10983,GJ 581 b,GJ 581,5.3686,0.0399,0.0342,4.79,20.5,1.02,,,3500.0,-1.90781,0.295,0.302,-0.08,4.97,4.3
3.1699,Kepler-84 c,Kepler-84,12.883,0.1072,0.0,2.36,20.2,8.44,865.0,132.23,6039.0,0.39,1.0,1.43,-0.07,4.13,3.98
3.17781,TOI-5210 b,TOI-5210,4.5661061,0.0557,0.066,10.72699453,81.99972901,0.364,1286.0,456.0,5723.0,0.15229,1.105,1.209,0.324,4.319,5.3
3.17488,NGTS-30 b,NGTS-30,98.29838,0.408,0.294,10.40193409,305.11527072,1.49,500.0,172.857,5455.0,-0.18738,0.94,0.913,-0.03,4.3,1.1
3.3728,Kepler-92 c,Kepler-92,26.723,0.19054,0.04,2.6,6.1,4.747125,781.0,106.207,5883.0,0.55818,1.21,1.7,0.1381,4.05,3.98
3.886,Kepler-552 b,Kepler-552,5.263415765,0.0612,0.0,3.95,14.8,1.32,1103.0,358.994,5863.0,0.06292,1.03,1.04,0.01,4.42,3.89
3.18483,K2-413 c,K2-413,5.3301,0.0426,,1.2327,2.05,6.01,,69.529,4116.0,-0.83322,0.808,0.7,-0.205,4.656,
3.1279,K2-353 b,K2-353,15.466805,,,5.55,26.3,0.845,735.0,33.0649,5698.0,-0.07632,0.87,0.99,-0.21,4.38,
3.11488,CoRoT-16 b,CoRoT-16,5.35227,0.0618,0.33,13.11,170.032,0.44,,,5650.0,-0.43496,1.098,1.19,0.19,4.36,6.73
3.20425,HD 94890 b,HD 94890,824.61,2.07,0.22,13.3,676.97450691,1.58,,,4867.0,1.7635,1.74,10.71,-0.02,2.6,
3.12238,KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,,1.08,,12.9,1450.0,3.71,,,,,0.039,,,,
3.11262,HD 31253 b,HD 31253,466.0,1.26,0.3,14.1,197.0546,0.386,,,6130.0,0.51667,1.7,1.75,0.17,4.18,3.0
3.11563,HD 208527 b,HD 208527,875.5,2.1,0.08,12.5,3146.4,8.85,,,4035.0,2.86322,1.6,51.1,-0.09,1.4,2.0
3.3438,Kepler-326 b,Kepler-326,2.248329,0.032,0.0,1.52,44.6,69.8,1127.0,783.449,5105.0,-0.15657,0.91,0.801,0.2385,4.556,13.18
