objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age
3.10209,K2-178 b,K2-178,8.747818,,,3.55790985,12.4,1.51,840.29,117.826,5525.0,-0.28382,0.95109,0.887267,0.09,4.55,
3.19225,HD 74698 c,HD 74698,3449.0,4.5,0.2,14.0,126.0,0.252,,0.088,5783.0,0.25285,1.039,1.333,0.07,4.12,7.847
3.12241,KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,,5.1,,12.7,2200.0,5.9,,,,,0.45,,,,
3.12499,GJ 1061 b,GJ 1061,3.204,0.021,0.31,1.1,1.37,5.66,,3.8,2953.0,-2.76955,0.12,0.156,-0.08,5.15856,7.0
3.2527,Kepler-102 b,Kepler-102,5.286965,0.05521,0.1,0.46,1.1,62.0,857.0,90.0,4909.0,-0.58436,0.803,0.724,0.11,4.6,1.1
3.4873,Kepler-1446 b,Kepler-1446,0.689967832,0.01405,0.0,0.82,0.477,4.75,1539.0,1213.333,4865.0,-0.65135,0.81,0.75,0.11,4.6,2.63
3.11632,HD 13908 b,HD 13908,19.382,0.154,0.02,13.9,274.91,0.562,,,6255.0,0.602,1.29,1.67,0.01,4.11,2.9
3.1432,HIP 9618 b,HIP 9618,20.772858,0.145,0.0,3.82838127,8.3,0.81,640.88,40.3,5649.0,-0.0716,0.942,0.9593,-0.018,4.445,5.6
3.12288,HD 202696 c,HD 202696,946.6,2.342,0.028,,592.43512,,,,5040.0,1.36922,1.91,6.43,0.02,3.11,1.32
3.5818,Kepler-1697 b,Kepler-1697,33.4969,0.2008,0.0,1.25954761,2.12,5.83,630.0,37.3,4681.53,-0.58813,0.747,0.772344,0.0341,4.53577,
3.1835,HD 11112 b,HD 11112,17244.90764,13.38,0.285,12.6,2598.56505563,7.14,,,5905.64,0.37657,1.07,1.47368,0.1869,4.13064,
3.1873,Kepler-1764 b,Kepler-1764,70.46829987,0.3512,0.0,4.55527871,18.8,1.09,511.0,16.17,6461.0,0.41465,1.162,1.131,-0.14,4.396,0.24
3.932,Kepler-674 b,Kepler-674,2.243381847,0.028,0.0,1.69,3.5,3.98,822.0,146.511,4192.0,-0.90665,0.6,0.57,-0.27,4.69,3.31
3.2816,Kepler-1269 b,Kepler-1269,37.3331536,0.23611,0.0,1.63,3.29,4.17,657.0,69.004,5998.0,0.5557,1.1,1.15,0.07,4.36,3.55
3.509,Kepler-634 b,Kepler-634,5.16950177,0.05765,0.0,1.89,4.23,3.44,1309.0,808.844,6075.0,0.42075,1.03,1.24,-0.18,4.26,5.37
3.4088,Kepler-1576 b,Kepler-1576,6.98471973,0.07211,0.0,1.04,1.12,5.47,1059.0,156.608,5876.0,-0.06329,1.05,1.06,0.05,4.4,4.07
3.11978,EPIC 211822797 b,EPIC 211822797,21.1701963,0.1195,0.06,1.92,4.35,3.38,431.0,3.5,4057.0,-1.15304,0.62,0.58,0.2,4.7,0.79
3.952,Kepler-681 b,Kepler-681,26.39435646,0.1635,0.0,3.08,9.69,1.82,489.0,14.151,5021.0,-0.45672,0.8,0.76,-0.04,4.58,5.01
3.251,Kepler-1796 b,Kepler-1796,29.4557991,0.1879,0.0,2.75047868,8.0,2.11,598.0,30.3,6036.0,0.11795,1.018,0.949,-0.16,4.491,0.4
3.175,Kepler-68 b,Kepler-68,5.39875259,0.06135,0.09,2.357,8.03,3.37,1275.0,441.0,5847.0,0.23106,1.057,1.2564,0.11,4.281,6.84
3.1793,Kepler-53 c,Kepler-53,38.5583038,0.22091,0.0,3.17,36.0,0.92,550.0,23.176,5858.0,0.03558,0.98,0.89,0.0,4.53,0.3
3.2069,Kepler-972 b,Kepler-972,7.03932553,0.0734,0.0,4.65,19.5,1.07,1060.0,266.514,6146.0,0.19129,1.15,1.22,0.04,4.33,2.82
3.5125,Kepler-1508 b,Kepler-1508,20.7056504,0.1629,0.0,1.33,2.33,5.44,967.0,116.145,6158.0,0.53713,1.14,1.22,0.01,4.32,2.69
3.2923,Kepler-1652 b,Kepler-1652,38.09722,0.1654,0.0,1.6,3.19,4.28,268.0,0.81,3638.0,-1.638,0.404,0.382,-0.3,4.878,3.2
3.3306,Kepler-352 b,Kepler-352,10.05537,0.085,0.0,0.86,0.566,4.89,694.0,50.389,5212.0,-0.43235,0.798,0.781,-0.11,4.566,1.7
3.2565,Kepler-293 c,Kepler-293,54.155743,0.286,0.0,3.83,14.0,1.37,466.0,7.287,5804.0,-0.23265,0.934,0.957,0.1,4.504,1.32
3.11183,HD 18742 b,HD 18742,766.0,1.82,0.04,13.1,1080.622,2.64,,,4940.0,1.14301,1.36,5.13,-0.04,3.09,2.3
3.18764,AF Lep b,AF Lep,8030.0,8.4,0.24,13.1,1017.0509024,2.49,1400.0,,6130.0,0.29,1.2,1.25,0.19,4.4,0.024
3.1536,Kepler-873 b,Kepler-873,20.5533844,0.1542,0.0,3.75,13.5,1.41,749.0,68.015,6163.0,0.13449,1.18,1.27,0.07,4.29,2.95
3.758,Kepler-731 b,Kepler-731,3.855603551,0.0505,0.0,13.88,,,1212.0,456.703,5849.0,0.03524,1.03,1.06,0.04,4.41,3.8
3.12496,TOI-125 d,TOI-125,19.98,0.137,0.168,2.93,13.6,2.98,638.1,26.7,5320.0,-0.28483,0.859,0.848,-0.02,4.516,6.8
3.91,Kepler-669 b,Kepler-669,4.125546869,0.0529,0.0,4.83,20.8,1.01,1243.0,826.765,6038.0,0.35828,1.15,1.2,0.14,4.34,3.16
3.3505,Kepler-783 b,Kepler-783,4.29264638,0.04958,0.0,0.78,0.399,4.62,991.0,229.104,5521.0,-0.23092,0.93,0.89,0.01,4.51,3.89
3.8551,KOI-7368 b,KOI-7368,6.8430344,0.0678,0.0,2.22,5.56,2.79,805.0,99.24,5241.0,-0.31552,0.879,0.874,0.0578,4.499,0.036
3.12359,EPIC 201833600 c,K2-50,3.96151,,,1.0,0.972,5.34,,,4326.0,-0.87356,0.611,0.634,-0.1132,4.742,
3.1485,TOI-2088 b,TOI-2088,124.72997,0.472,0.0,3.6831179,37.0,2.0,300.33,1.7338,5081.0,-0.36151,0.9027,0.8481,0.339,4.533,4.5
3.19923,GJ 238 b,GJ 238,1.7446999,0.02123,,0.566,0.126,3.82,758.0,107.262,3485.0,-1.61618,0.4193,0.4314,0.15,4.85243,
3.2644,Kepler-142 d,Kepler-142,41.809118,0.242,0.0,2.16,5.31,2.9,582.0,22.072,5790.0,0.10706,0.978,1.269,0.05,4.262,7.59
3.2593,Kepler-1192 b,Kepler-1192,25.2034787,0.1693,0.0,2.36,6.17,2.58,600.0,34.742,5438.0,-0.1283,0.86,0.83,-0.16,4.55,4.47
3.1734,Kepler-214 b,Kepler-214,15.660544,0.13,0.0,2.61,7.32,2.26,758.0,196.402,6169.0,0.5108,1.11,1.352,-0.02,4.249,1.58
3.2925,Kepler-1297 b,Kepler-1297,1.68189002,0.0283,0.0,0.97,0.871,5.24,1790.0,2760.593,5818.0,0.30193,0.99,0.99,-0.04,4.45,4.17
3.11756,HATS-6 b,HATS-6,3.3252725,0.03623,0.0,11.186582,101.38777,0.399,712.8,47.3315,3724.0,-1.09983,0.574,0.57,0.2,4.683,8.1
3.1108,HD 126525 b,HD 126525,960.41,1.837,0.035,10.3,75.32571,0.379,,,5638.0,-0.0403,0.897,0.979,-0.1,4.382,9.67
3.3129,Kepler-1354 b,Kepler-1354,76.613377,0.3521,0.0,2.97,9.11,1.91,466.0,18.86,6168.0,0.30208,1.16,1.24,0.03,4.31,2.95
3.3427,Kepler-319 d,Kepler-319,31.781925,0.191,0.0,2.29,5.86,2.68,528.0,17.962,5526.0,-0.18116,0.933,0.903,0.06,4.487,1.07
3.3732,Kepler-1427 b,Kepler-1427,0.968972376,0.0197,0.0,1.1,1.37,5.66,1844.0,2730.51,5793.0,0.0156,1.01,1.01,0.06,4.44,4.07
3.4362,Kepler-1959 b,Kepler-1959,6.38669014,0.0617,0.0,1.14315727,1.57,5.78,811.0,102.25,5071.0,-0.47365,0.768,0.811,-0.02,4.505,
3.11576,HD 109271 b,HD 109271,7.8543,0.079,0.25,4.31,17.162,1.18,,,5783.0,0.301,1.047,1.294595,0.1,4.28,7.3
3.11754,HD 100546 b,HD 100546,,53.0,,77.3421,2701.5414595,0.0321,,,10500.0,1.5,2.4,1.85288,,4.32726,0.0055
3.12146,HD 158996 b,HD 158996,820.2,2.1,0.13,12.3,4449.62,13.1,,,4069.0,3.01481,1.8,50.3,-0.2,1.4,1.6
3.3696,Kepler-1897 b,Kepler-1897,24.22030067,0.1546,0.0,2.81407954,8.32,2.05,505.0,15.43,5165.0,-0.38987,0.859,0.761,0.02,4.599,4.2
3.2802,Kepler-1264 b,Kepler-1264,0.968526023,0.01839,0.0,1.18,1.76,5.89,1677.0,2367.804,5791.0,-0.05475,0.99,0.98,-0.02,4.45,4.17
3.12665,TOI-178 f,TOI-178,15.231915,0.1039,,2.287,7.72,3.6,521.0,0.6071,4316.0,-0.87943,0.65,0.651,-0.23,4.45,7.1
3.8194,Kepler-452 b,Kepler-452,384.843,1.046,0.0,1.63,3.29,4.17,265.0,1.1,5757.0,0.08448,1.037,1.11,0.21,4.32,6.0
3.1103,HD 100777 b,HD 100777,383.0,1.06,0.38,13.7,390.92894061,0.835,,,5533.0,0.02119,1.08,1.04,-0.27,4.32,5.7
3.891,Kepler-553 b,Kepler-553,4.030467,0.04766,0.0,4.74139884,116.00736855,,1089.0,235.0,5191.0,-0.27084,0.889,0.902,0.152,4.48,8.8
3.19795,CI Tau c,CI Tau,25.2,0.17,0.58,13.0,1144.1822652,2.86,,,3807.0,-0.25458,0.9,1.880857,,,0.0025
3.806,Kepler-259 b,Kepler-259,8.115317,0.079,0.0,2.8,8.25,2.07,879.0,113.451,5938.0,-0.15271,0.867,0.898,-0.09,4.532,0.4
3.11264,HD 31527 c,HD 31527,51.2053,0.2663,0.04,3.85,14.16,1.36,,,5898.0,0.07918,0.96,1.073694,-0.17,4.45,
3.1174,WASP-82 b,WASP-82,2.70579,0.0447,0.0,18.15858,371.8611,0.354,2190.0,3557.29,6480.0,0.79422,1.48,2.1,0.12,3.96,
3.11444,WASP-15 b,WASP-15,3.7521,0.05165,0.0,15.80469,171.6282,0.263,1676.0,1237.7366,6300.0,0.49,1.18,1.48,-0.17,4.35,2.4
3.12126,K2-154 b,K2-154,3.67626,0.0405,,1.99,4.62,3.22,715.0,57.5,4097.0,-1.01773,0.65,0.63,0.21,4.65,
3.8831,K2-44 b,K2-44,5.657,0.06,,2.433,6.5,2.48,1211.0,646.0,5912.0,0.42968,1.15,1.58,0.0,4.101,
3.2991,Kepler-1869 c,Kepler-1869,1.716828304,0.028,0.0,0.74,0.33,4.47,1455.0,1056.84,5808.0,-0.05012,0.987,0.902,-0.06,4.522,1.29
3.1746,Kepler-240 b,Kepler-240,4.144495,0.048,0.0,1.37,2.45,5.24,864.0,142.736,4985.0,-0.52355,0.868,0.739,0.41,4.626,1.91
3.4284,Kepler-1955 b,Kepler-1955,14.26519966,0.11959,0.0,1.16654878,1.69,5.85,853.0,114.3,5825.0,0.22965,1.049,1.291,0.14,4.237,4.37
3.34,Kepler-537 b,Kepler-537,3.247555219,0.04317,0.0,1.41,2.57,5.04,1181.0,442.522,5763.0,-0.03874,1.07,0.99,0.23,4.47,1.45
3.11235,HD 217786 b,HD 217786,1301.36009,2.446,0.311,12.3,4402.55909376,13.0,,,5966.0,0.27646,1.14,1.27,-0.135,4.35,7.6
3.4649,Kepler-1968 b,Kepler-1968,7.281099796,0.0696,0.0,1.50004034,2.86,4.66,744.0,72.16,5008.0,-0.64972,0.844,0.788,0.18,4.572,
3.2096,Kepler-322 c,Kepler-322,4.337234,0.051,0.0,1.67,3.43,4.05,996.0,203.406,5388.0,-0.28786,0.908,0.89,0.12,4.501,1.1
3.11416,OGLE-TR-132 b,OGLE-TR-132,1.689868,0.03035,0.6,13.45,375.02,0.85,2013.0,,6210.0,0.371,1.305,1.32,0.37,4.313,1.2
3.19809,M62H b,M62H,0.132935028,,,,785.03616529,,,,,,1.4,,,,
3.579,Kepler-601 b,Kepler-601,5.378868441,0.05494,0.0,1.9,4.27,3.42,833.0,110.619,5160.0,-0.42817,0.85,0.79,-0.02,4.57,4.07
3.12152,gam Lib b,gam Lib,414.88,1.319,0.16,13.7,357.87478628,0.765,,,4879.0,1.8973,1.78,12.38,-0.27,2.5,2.82
3.2692,Kepler-1684 b,Kepler-1684,47.7055,0.2253,0.0,2.87084792,8.6,2.0,347.0,3.42,4706.54,-0.70657,0.75,0.666755,0.1267,4.6652,
3.12283,HATS-66 b,HATS-66,3.1414391,0.04714,0.064,15.815899,1694.0339,2.34,1998.0,2637.0,6626.0,0.76716,1.411,1.841,-0.017,4.057,2.17
3.1836,HD 136118 b,HD 136118,1187.59765,2.327,0.344,12.3,4164.18778851,12.3,,,6097.0,0.56868,1.18,1.67754,-0.05,4.053,
3.112,Kepler-781 b,Kepler-781,13.2140732,0.1019,0.0,2.89,8.7,1.98,629.0,44.397,5162.0,-0.38375,0.81,0.78,-0.1,4.58,4.9
3.56,Kepler-171 b,Kepler-171,4.166972,0.05,0.0,2.34,6.08,2.61,1053.0,304.178,5642.0,-0.07917,0.978,0.839,0.17,4.566,2.4
3.205,Kepler-1021 b,Kepler-1021,13.47469571,0.1034,0.0,2.33,6.04,2.62,634.0,50.37,5431.0,-0.28836,0.89,0.86,-0.05,4.53,4.68
3.3616,Kepler-1399 b,Kepler-1399,1.638653058,0.0276,0.0,1.25,2.1,5.91,1610.0,1707.252,5735.0,0.00959,0.97,0.96,-0.03,4.47,4.37
3.391,Kepler-1550 b,Kepler-1550,225.582809,0.7681,0.0,3.02,9.38,1.87,348.0,2.305,5991.0,0.11945,1.07,1.11,0.01,4.38,3.55
3.19936,TOI-7041 b,TOI-7041,9.691,,0.04,11.43316031,114.41822652,0.421,882.37,143.259,4700.0,0.88081,1.07,4.1,0.25,3.244,10.3
3.11979,OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,,4.53,,13.0,1169.60853776,2.93,,,,,0.73,,,,
3.12587,K2-319 b,K2-319,26.68,0.1516,,2.79,8.2,2.07,641.0,,5440.0,-0.23747,0.954,0.898,,4.512,
3.324,Kepler-414 c,Kepler-414,7.171,0.07195,0.0,3.01,29.9,6.02,890.0,137.086,5536.0,-0.16917,0.89,0.946,0.18,4.47,1.55
3.9001,K2-72 b,K2-72,5.577212,0.04,0.11,1.08,1.28,5.58,,8.5,3360.47,-1.83673,0.271365,0.330989,,5.048,
3.1142,Kepler-743 b,Kepler-743,3.179262921,0.04166,0.0,1.21,1.92,5.96,1101.0,397.252,5486.0,-0.17633,0.94,0.85,0.01,4.55,1.86
3.20498,NGTS-32 b,NGTS-32,3.31211,0.044,0.0,15.91675259,181.16219199,0.24,1750.0,1554.0,5680.0,0.47092,1.07,1.85,-0.03,4.09,8.03
3.12336,HD 210193 b,HD 210193,649.918,1.487,0.24,14.3,153.1,0.288,,,5790.0,0.05578,1.04,1.05971,0.13,4.43481,
3.1113,HD 155358 b,HD 155358,194.3,0.63,0.17,13.8,314.6517,0.658,,,5905.0,0.29949,1.15,1.38,-0.6,4.22,10.7
3.17724,TOI-5126 c,TOI-5126,17.8999,0.1439,0.0,3.86,14.2,1.36,971.0,96.0,6150.0,0.29885,1.24,1.241,0.18,4.224,0.8
3.4199,Kepler-1952 b,Kepler-1952,27.21080017,0.1724,0.0,1.23923346,2.07,5.98,725.0,65.27,5973.0,0.291,0.922,1.305,-0.34,4.171,
3.13404,TOI-406 c,TOI-406,3.307441,0.0322,0.032,1.32,2.08,4.9,584.0,19.0,3392.0,-1.71444,0.408,0.41,-0.02,4.69,
3.502,Kepler-545 b,Kepler-545,13.24934059,0.11248,0.0,2.69,7.7,2.17,806.0,101.143,5882.0,0.10684,1.04,1.07,0.03,4.39,4.47
3.12147,KPS-1 b,KPS-1,1.706291,0.0269,0.0,11.54527,346.4347,1.31,1459.0,729.0,5165.0,-0.35281,0.892,0.907,0.22,4.47,
3.12074,HD 34445 f,HD 34445,676.8,1.543,0.031,6.88,37.9,0.64,,,5836.0,0.3032,1.07,1.38,0.14,4.21,8.5
3.18533,NGTS-25 b,NGTS-25,2.823093,0.0388,0.0,11.46678726,203.09235207,0.74,1101.0,,5321.0,-0.29158,0.91,0.86,0.12,4.48,3.49
3.1839,Kepler-916 b,Kepler-916,32.2968798,0.1885,0.0,1.76,3.75,3.78,503.0,14.683,5248.0,-0.27846,0.85,0.81,-0.05,4.56,4.79
3.11438,V0391 Peg b,V0391 Peg,1170.0,1.7,0.0,13.1,1017.056,2.49,,,29300.0,1.43287,0.5,0.23,,5.4,10.0
3.1817,Kepler-20 e,Kepler-20,6.0984882,0.0637,0.092,0.821,0.76,7.5,1004.0,169.8,5495.0,-0.16451,0.929,0.9164,0.07,4.446,5.6
3.13287,TOI-277 b,TOI-277,3.994,0.0269,,2.65,7.51,2.22,587.92,28.236,4031.0,-1.3504,0.16,0.362,-0.01,4.58,
3.6472,Kepler-1633 b,Kepler-1633,186.404271,0.3875,0.0,1.58,3.12,4.35,925.0,26.258,6256.0,0.64606,1.2,1.32,0.02,4.27,2.82
3.10995,HAT-P-13 c,HAT-P-13,446.27,1.258,0.6616,12.3,4538.421,13.4,340.0,,5653.0,0.346,1.32,1.756,0.46,4.13,5.0
3.20445,L 98-59 f,L 98-59,23.064,0.1052,0.044,1.48,2.8,5.0,285.0,1.1,3415.0,-1.91364,0.2923,0.3155,-0.46,4.91,4.94
3.11135,HD 156846 b,HD 156846,359.51001,1.12,0.85,12.4,3391.2461,9.77,,,6090.0,0.69723,1.38,1.9,0.15,4.02,2.4
3.1748,Kepler-242 c,Kepler-242,14.496481,0.109,0.0,2.0,4.66,3.2,613.0,20.498,5020.0,-0.61267,0.748,0.85,-0.02,4.492,2.69
3.12018,Qatar-5 b,Qatar-5,2.8792319,0.04127,0.0,12.408363,1373.0256,3.95,1415.0,669.0,5747.0,0.05614,1.128,1.076,0.377,4.427,0.53
3.14788,TOI-2025 b,TOI-2025,8.8720982,0.0892,0.394,11.89272852,1144.1822652,3.74,1166.0,343.7178,5977.0,0.38739,1.199,1.459,0.15,4.187,4.5
3.1033,K2-348 c,K2-348,12.550171,,,2.67,7.61,2.2,655.0,,5077.0,-0.38844,0.83,0.85,0.13,4.5,
3.12062,K2-132 b,K2-132,9.1751,0.0916,0.29,14.5717,155.7367,0.277,1586.0,293.374,4840.0,0.94349,1.08,3.85,-0.01,3.297,8.5
3.3553,Kepler-399 c,Kepler-399,26.67569,0.155,0.0,1.43,2.63,4.94,630.0,15.69,5502.0,-0.418,0.902,0.68,0.14,4.62,3.98
3.1251,Kepler-845 b,Kepler-845,0.927859821,0.01668,0.0,2.04,4.82,3.12,1361.0,772.498,4913.0,-0.60474,0.79,0.75,0.01,4.59,4.79
3.11846,WASP-76 b,WASP-76,1.80988198,0.033,0.0,20.78145022,284.13859586,0.17,2228.0,4104.0,6329.0,0.65418,1.458,1.756,0.366,4.196,1.816
3.11867,KELT-15 b,KELT-15,3.32944,0.04613,0.0,19.50366,416.3573,0.36,1642.0,1612.7618,6003.0,0.41162,2.06,1.78,0.05,4.17,
3.5025,Kepler-1919 b,Kepler-1919,37.88660049,0.2107,0.0,2.62390658,7.38,2.24,479.0,12.46,5513.0,-0.27362,0.868,0.818,-0.16,4.551,
3.2283,Kepler-1130 b,Kepler-1130,5.45298175,0.05963,0.0,0.8,0.437,4.69,904.0,162.65,5403.0,-0.25964,0.9,0.81,-0.06,4.57,1.58
3.11102,HD 13808 b,HD 13808,14.1815,0.10519,0.071,3.35,11.2,1.64,,,5035.0,-0.43455,0.771,0.781,-0.21,4.57546,7.2
3.1229,K2-290 c,K2-290,48.36685,0.305,0.0,11.276254,246.00042,1.01,676.0,,6302.0,0.42035,1.194,1.511,-0.06,4.23,4.0
3.11192,HD 192310 c,HD 192310,525.8,1.18,0.32,5.25,24.0,0.911,185.0,,5166.0,-0.41454,0.8,0.857922,-0.04,4.51,7.81
3.1017,K2-151 b,K2-151,3.835476,0.0373,,1.49,2.83,4.7,566.0,20.8,3695.0,-1.55284,0.47,0.45,-0.19,4.8,
3.3165,Kepler-1367 b,Kepler-1367,1.574090272,0.0236,0.0,0.92,0.721,5.09,998.0,225.233,4106.0,-0.90488,0.62,0.6,-0.06,4.68,3.89
3.278,Kepler-1716 b,Kepler-1716,35.58100128,0.18836,0.0,2.4247685,6.46,2.49,408.0,6.3,4894.0,-0.62363,0.753,0.684,-0.24,4.637,7.9
3.14539,TOI-1716.01,TOI-1716,8.082376554,0.080496,,3.143,10.0,1.77,959.0,254.83,5879.0,0.21525,1.07,1.24,0.096,4.28,5.4
3.127,HIP 56640 b,HIP 56640,2675.57603,4.55,0.118,12.7,2151.69831539,5.77,,,4769.0,1.04999,1.75,4.93,-0.03,2.91,9.15
3.5393,Kepler-1038 c,Kepler-1038,7.127659798,0.0692,0.0,1.4162338,2.59,5.01,784.0,89.24,5159.0,-0.362,0.868,0.821,0.16,4.548,14.0
3.314,Kepler-1878 b,Kepler-1878,4.445879936,0.0521,0.0,2.92019781,8.86,1.96,1063.0,302.6,5918.0,0.18689,0.956,0.865,-0.26,4.544,
3.11577,HD 109271 c,HD 109271,30.93,0.196,0.15,5.27,24.154,0.907,,,5783.0,0.301,1.047,1.294595,0.1,4.28,7.3
3.20125,TOI-2443 b,TOI-2443,15.66858,0.105,0.301,2.363,4.8,2.0,519.0,13.2931,4375.0,-0.86487,0.642,0.631,-0.29,4.42,7.5
3.10239,K2-202 b,K2-202,3.405164,,,2.30165603,5.91,2.66,,,5491.0,-0.33519,0.971461,0.910685,0.27,4.55,
3.13038,HD 219139 b,HD 219139,275.5,0.94,0.11,14.0,247.90615746,0.496,,,4831.0,1.79463,1.46,11.22,-0.2,2.48,
3.12143,HATS-41 b,HATS-41,4.193649,0.0583,0.38,14.90797,3082.951,5.1,1710.0,1300.3125,6424.0,0.65321,1.496,1.71,0.47,4.14,1.34
3.11296,HD 45350 b,HD 45350,963.6,1.92,0.778,13.5,568.89,1.27,,,5566.0,0.14065,0.98,1.26442,0.23,4.22551,8.0
3.15126,TOI-2384 b,TOI-2384,2.13570304,0.02793,0.0,11.48920522,624.85064816,2.26,889.7,104.3,3943.0,-1.11907,0.635,0.6113,0.332,4.66,9.4
3.12007,GJ 3323 b,GJ 3323,5.3636,0.03282,0.23,1.23,2.02,5.96,,2.58,3159.0,-2.56864,0.164,0.119,-0.27,,
3.2148,Kepler-1020 b,Kepler-1020,96.9151496,0.37594,0.0,2.28,5.82,2.7,325.0,2.339,5227.0,-0.43597,0.87,0.8,0.0,4.57,3.63
3.961,Kepler-682 b,Kepler-682,12.611906672,0.1058,0.0,7.37,42.6,0.585,753.0,306.102,5559.0,0.47994,0.92,0.89,-0.05,4.51,3.98
3.4887,Kepler-1447 b,Kepler-1447,56.6747285,0.2836,0.0,2.9,8.75,1.97,522.0,10.349,5722.0,-0.04217,0.97,0.95,-0.03,4.47,4.17
3.19321,TOI-1470 c,TOI-1470,18.08816,0.106,0.5,2.47,7.24,2.66,373.0,3.35,3709.0,-1.42481,0.471,0.469,0.0,4.77,1.3
3.19856,HD 284149 AB b,HD 284149 A,,431.16,,12.0,8352.53053596,26.6,2395.0,,6035.0,0.34242,1.13,1.36,,4.30647,0.025
3.925,K2-194 b,K2-194,39.721386,,,3.64229858,12.9,1.47,,,5979.0,0.36302,1.110086,1.281115,0.1,4.21,
3.13027,HATS-77 b,HATS-77,3.0876262,0.03607,0.045,13.05846252,436.69623122,1.077,828.3,78.37,4071.0,-0.99183,0.655,0.6428,0.253,4.638,12.1
3.1838,Kepler-915 b,Kepler-915,4.59489604,0.05655,0.0,1.5,2.86,4.66,1319.0,844.751,6173.0,0.50553,1.21,1.38,0.08,4.24,3.39
3.17092,TOI-4379 b,TOI-4379,3.25352,,0.018,16.69017226,353.74301699,0.418,1869.38,2886.0942,6020.0,0.63749,1.372,1.976,0.16,3.929,4.51
3.11411,OGLE-2003-BLG-235L b,OGLE-2003-BLG-235L,,4.3,,13.2,830.0,1.98,,,,,0.63,,,,
3.12419,HATS-58 A b,HATS-58 A,4.2180896,0.05798,0.168,12.273855,327.3649,0.96,1721.0,382.7103,7175.0,0.68931,1.461,1.433,,4.292,0.31
3.11965,WASP-142 b,WASP-142,2.052868,0.0347,0.0,17.14977,266.9772,0.31,2000.0,3140.9238,6010.0,0.51325,1.33,1.64,0.26,4.13,2.0
3.429,Kepler-597 b,Kepler-597,13.02365861,0.10916,0.0,2.37,6.21,2.56,743.0,76.375,5683.0,-0.0334,0.97,0.95,-0.01,4.47,4.27
3.19917,TIC 241249530 b,TIC 241249530,165.7719,0.641,0.9412,13.29385111,1582.78546686,3.7,,,6166.0,0.40824,1.271,1.397,0.09,4.23,3.2
3.11998,HD 29021 b,HD 29021,1365.0,2.294,0.453,12.9,1420.69297929,3.64,,,5560.0,-0.18111,0.86,0.85,-0.3,4.44,5.5
3.15987,TOI-3261 b,TOI-3261,0.8831331,0.01714,0.0,3.82,30.3,3.0,1722.0,1466.0,5068.0,-0.36653,0.861,0.849,0.138,4.19,6.5
3.12447,GJ 682 b,GJ 682,17.478,0.08,0.08,1.93,4.4,3.36,,,3028.0,-2.69897,0.27,0.298255,,4.92764,
3.12752,HAT-P-59 b,HAT-P-59,4.1419771,0.05064,0.03,12.58768533,489.45574678,1.347,1277.8,441.4,5678.0,0.05385,1.008,1.1038,0.217,4.356,7.3
3.11153,HD 168443 c,HD 168443,1753.1096,2.842,0.21,12.2,5500.33841154,16.6,,,5491.0,0.38246,0.98,1.711479,0.04,3.987745,11.08
3.18469,KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,,0.72,,6.9,38.13940884,0.638,,,,,0.08,,,,
3.11985,WASP-53 b,WASP-53,3.3098443,0.04101,0.03,12.038466,677.61356,2.28,1053.0,241.6656,4953.0,-0.46344,0.839,0.798,0.22,4.553,
3.2835,Kepler-1857 b,Kepler-1857,8.94340992,0.08308,0.0,1.96065412,4.5,3.28,946.0,217.4,6074.0,0.2052,0.873,1.005,-0.54,4.375,7.94
3.536,Kepler-342 c,Kepler-342,26.234138,0.185,0.0,1.96,4.5,3.28,754.0,77.29,6175.0,0.45345,1.213,1.472,-0.0006,4.187,2.82
3.2762,Kepler-1251 b,Kepler-1251,45.0904643,0.2478,0.0,1.84,4.04,3.56,487.0,13.78,5545.0,-0.15264,0.92,0.89,-0.04,4.51,4.79
3.1832,Kepler-910 b,Kepler-910,2.364369015,0.03752,0.0,0.82,0.477,4.75,1752.0,2108.073,6230.0,0.49442,1.26,1.5,0.12,4.19,3.39
3.2531,KOI-94 b,KOI-94,3.743208,0.05119,0.25,1.71,10.5,10.1,1486.0,1053.181,6182.0,0.479,1.277,1.52,0.0228,4.181,3.16
3.12449,OGLE-2015-BLG-1649L b,OGLE-2015-BLG-1649L,,2.07,,13.2,807.0,1.93,,,,,0.34,,,,
3.566,Kepler-242 b,Kepler-242,8.20395,0.075,0.0,2.61,7.32,2.26,742.0,43.768,5020.0,-0.61267,0.748,0.85,-0.02,4.492,2.69
3.10884,K2-268 d,K2-268,4.528598,,,1.49,2.83,4.7,888.0,,5106.0,-0.42942,0.84,0.78,0.03,4.58,
3.12706,TOI-220 b,TOI-220,10.695264,0.08911,0.032,3.03,13.8,2.73,805.0,66.8553,5298.0,-0.26668,0.825,0.858,-0.217,4.37,10.1
3.3345,Kepler-374 d,Kepler-374,5.028219,0.056,0.0,1.31,2.27,5.55,1272.0,548.099,5977.0,0.27435,1.033,0.911,0.1111,4.479,8.51
